127.0.0.1, 2015-07-05 14:18:16, GET, /, HTTP/1.1, 303, 0.000916
127.0.0.1, 2015-07-05 14:18:17, GET, /welcome/default/index, HTTP/1.1, 200, 1.098902
127.0.0.1, 2015-07-05 14:18:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000510
127.0.0.1, 2015-07-05 14:18:18, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000504
127.0.0.1, 2015-07-05 14:18:18, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000355
127.0.0.1, 2015-07-05 14:18:18, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000321
127.0.0.1, 2015-07-05 14:18:18, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000318
127.0.0.1, 2015-07-05 14:18:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000399
127.0.0.1, 2015-07-05 14:18:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001420
127.0.0.1, 2015-07-05 14:18:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000333
127.0.0.1, 2015-07-05 14:18:18, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000452
127.0.0.1, 2015-07-05 14:18:18, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000317
127.0.0.1, 2015-07-05 14:18:19, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000437
127.0.0.1, 2015-07-05 14:18:19, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000471
127.0.0.1, 2015-07-05 14:18:19, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000446
127.0.0.1, 2015-07-05 14:18:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2015-07-05 14:18:20, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000443
127.0.0.1, 2015-07-05 14:18:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000328
127.0.0.1, 2015-07-05 14:18:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000464
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/default/site, HTTP/1.1, 303, 0.116682
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/default/index, HTTP/1.1, 200, 0.044252
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.000472
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.000803
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.000940
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000503
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000475
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000484
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000490
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000493
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.000484
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000476
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000491
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000484
127.0.0.1, 2015-07-05 14:18:35, GET, /admin/static/_2.11.2/images/questions.png, HTTP/1.1, 200, 0.000349
127.0.0.1, 2015-07-05 14:18:41, POST, /admin/default/index, HTTP/1.1, 303, 0.048290
